date,houston,san antonio,dallas
2018-01-01 01:00:00,11425.98,9151.19,18584.34
2018-01-01 02:00:00,11408.42,9144.99,18524.14
2018-01-01 03:00:00,11405.2,9141.04,18532.06
2018-01-01 04:00:00,11450.56,9157.96,18647.44
2018-01-01 05:00:00,11631.34,9214.33,19002.1
2018-01-01 06:00:00,11939.41,9409.49,19477.36
2018-01-01 07:00:00,12268.83,9647.19,19984.22
2018-01-01 08:00:00,12422.88,9763.96,20289.37
2018-01-01 09:00:00,12605.15,9843.84,20338.61
2018-01-01 10:00:00,12852.52,9995.22,20250.29
2018-01-01 11:00:00,12915.23,10061.27,19996.93
2018-01-01 12:00:00,12898.77,9997.85,19485.2
2018-01-01 13:00:00,12799.62,9841.93,18761.46
2018-01-01 14:00:00,12561.39,9699.13,17929.19
2018-01-01 15:00:00,12276.08,9579.3,17300.43
2018-01-01 16:00:00,12013.03,9530.98,17035.04
2018-01-01 17:00:00,12163.41,9602.77,17279.86
2018-01-01 18:00:00,12904.77,9969.08,18599.94
2018-01-01 19:00:00,13557.38,10332.28,19778.25
2018-01-01 20:00:00,13638.32,10259.67,19960.2
2018-01-01 21:00:00,13662.92,10139.78,20001.5
2018-01-01 22:00:00,13500.73,9841.96,19719.39
2018-01-01 23:00:00,13104.63,9373.66,18993.5
2018-01-01 00:00:00,12677.63,8960.33,18346.96
2018-01-02 01:00:00,12954.54,7348.84,18245.55
2018-01-02 02:00:00,12762.33,7172.2,18041.58
2018-01-02 03:00:00,12672.32,7093.98,17954.64
2018-01-02 04:00:00,12720.79,7115.69,17999.01
2018-01-02 05:00:00,12982.67,7280.4,18313.72
2018-01-02 06:00:00,13540.02,7655.65,19110.14
2018-01-02 07:00:00,14259.42,8150.99,20146.48
2018-01-02 08:00:00,14662.85,8469.28,20703.41
2018-01-02 09:00:00,14847.38,8577.66,20821.65
2018-01-02 10:00:00,15078.54,8691.77,20987.82
2018-01-02 11:00:00,15249.14,8765.6,20975.02
2018-01-02 12:00:00,15162.5,8733.73,20799.5
2018-01-02 13:00:00,14982.16,8632.56,20494.03
2018-01-02 14:00:00,14868.7,8537.78,20298.2
2018-01-02 15:00:00,14784.34,8497.12,20172.9
2018-01-02 16:00:00,14708.81,8585.93,20255.11
2018-01-02 17:00:00,14844.78,8819.1,20683.04
2018-01-02 18:00:00,15397.7,9271.57,21580.65
2018-01-02 19:00:00,15655.35,9616.56,22168.94
2018-01-02 20:00:00,15562.07,9593.22,22015.78
2018-01-02 21:00:00,15390.07,9477.47,21687.86
2018-01-02 22:00:00,15016.04,9172.01,21024.75
2018-01-02 23:00:00,14447.1,8685.52,19962.69
2018-01-02 00:00:00,13951.71,8288.25,19261.95
2018-01-03 01:00:00,13364.63,9223.09,18582.42
2018-01-03 02:00:00,13252.1,9222.85,18565.35
2018-01-03 03:00:00,13279.98,9334.71,18644.44
2018-01-03 04:00:00,13472.32,9545.05,18910.17
2018-01-03 05:00:00,13825.13,9834.08,19421.48
2018-01-03 06:00:00,14475.48,10366.64,20388.89
2018-01-03 07:00:00,15273.28,11053.51,21632.7
2018-01-03 08:00:00,15424.46,11343.26,22017.34
2018-01-03 09:00:00,15230.1,10917.55,21367.33
2018-01-03 10:00:00,14963.35,10230.36,20090.37
2018-01-03 11:00:00,14573.73,9423.06,18873.44
2018-01-03 12:00:00,14060.99,8626.89,17650.36
2018-01-03 13:00:00,13531.92,7897.0,16559.56
2018-01-03 14:00:00,13064.39,7349.8,15636.94
2018-01-03 15:00:00,12602.43,6897.85,14830.67
2018-01-03 16:00:00,12263.35,6656.33,14360.17
2018-01-03 17:00:00,12139.26,6651.08,14406.44
2018-01-03 18:00:00,12738.87,7100.58,15480.28
2018-01-03 19:00:00,13509.13,7934.45,16745.59
2018-01-03 20:00:00,13721.03,8126.02,17102.15
2018-01-03 21:00:00,13789.67,8299.96,17268.62
2018-01-03 22:00:00,13647.12,8253.8,17095.76
2018-01-03 23:00:00,13214.01,7971.18,16464.87
2018-01-03 00:00:00,12810.95,7736.42,15926.69
2018-01-04 01:00:00,12488.38,7621.82,15670.63
2018-01-04 02:00:00,12394.1,7641.84,15671.03
2018-01-04 03:00:00,12406.29,7748.83,15782.13
2018-01-04 04:00:00,12536.75,7926.38,16059.87
2018-01-04 05:00:00,12854.36,8225.79,16668.21
2018-01-04 06:00:00,13514.09,8774.48,17652.87
2018-01-04 07:00:00,14283.42,9518.42,19037.87
2018-01-04 08:00:00,14482.31,9744.51,19569.62
2018-01-04 09:00:00,14198.62,9335.92,18885.2
2018-01-04 10:00:00,13712.36,8573.56,17699.02
2018-01-04 11:00:00,13193.59,7785.38,16594.56
2018-01-04 12:00:00,12632.0,7246.38,15648.48
2018-01-04 13:00:00,12112.41,6772.27,14836.67
2018-01-04 14:00:00,11698.89,6519.7,14135.23
2018-01-04 15:00:00,11322.68,6435.72,13528.9
2018-01-04 16:00:00,11164.38,6467.27,13353.29
2018-01-04 17:00:00,11227.14,6630.79,13790.56
2018-01-04 18:00:00,11820.05,7097.66,14876.41
2018-01-04 19:00:00,12357.34,7600.1,15799.7
2018-01-04 20:00:00,12381.96,7633.85,16021.24
2018-01-04 21:00:00,12307.7,7540.51,16101.42
2018-01-04 22:00:00,11952.6,7266.25,15779.1
2018-01-04 23:00:00,11446.65,6798.62,15079.42
2018-01-04 00:00:00,11031.71,6412.29,14373.36
2018-01-05 01:00:00,10736.9,6132.86,13927.1
2018-01-05 02:00:00,10560.91,6020.71,13819.3
2018-01-05 03:00:00,10491.06,5983.72,13901.16
2018-01-05 04:00:00,10545.45,6038.01,14171.34
2018-01-05 05:00:00,10784.47,6224.65,14725.91
2018-01-05 06:00:00,11357.06,6691.98,15713.07
2018-01-05 07:00:00,12051.69,7326.13,17063.28
2018-01-05 08:00:00,12337.91,7616.03,17602.2
2018-01-05 09:00:00,12336.7,7539.23,16997.83
2018-01-05 10:00:00,12281.46,7377.45,15951.31
2018-01-05 11:00:00,12086.59,7169.77,14975.35
2018-01-05 12:00:00,11765.29,6845.08,14053.47
2018-01-05 13:00:00,11396.44,6447.53,13188.55
2018-01-05 14:00:00,11141.44,6085.88,12551.79
2018-01-05 15:00:00,10911.2,5832.1,12028.6
2018-01-05 16:00:00,10676.98,5674.3,11715.89
2018-01-05 17:00:00,10621.94,5723.72,11754.48
2018-01-05 18:00:00,11056.43,6023.96,12456.42
2018-01-05 19:00:00,11510.74,6586.95,13254.97
2018-01-05 20:00:00,11599.99,6703.19,13276.82
2018-01-05 21:00:00,11650.72,6745.29,13357.04
2018-01-05 22:00:00,11581.97,6692.45,13297.68
2018-01-05 23:00:00,11321.77,6486.57,12931.96
2018-01-05 00:00:00,11004.55,6218.63,12443.31
2018-01-06 01:00:00,10641.46,5996.38,12149.98
2018-01-06 02:00:00,10515.7,5923.32,12032.98
2018-01-06 03:00:00,10467.69,5941.69,12037.63
2018-01-06 04:00:00,10514.5,6061.9,12207.85
2018-01-06 05:00:00,10637.26,6195.99,12572.82
